@type,@sourceName,@sourceVersion,@unit,@creationDate,@startDate,@endDate,@value,MetadataEntry,@device,HeartRateVariabilityMetadataList
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 07:13:31+05:30,2019-03-01 07:02:10+05:30,2019-03-01 07:02:31+05:30,0.0201508,,"<<HKDevice: 0x2824ee620>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 07:33:25+05:30,2019-03-01 07:21:26+05:30,2019-03-01 07:21:39+05:30,0.0228357,,"<<HKDevice: 0x2824eff20>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 07:43:16+05:30,2019-03-01 07:32:16+05:30,2019-03-01 07:36:03+05:30,0.0913661,,"<<HKDevice: 0x2824efac0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 08:00:14+05:30,2019-03-01 07:48:56+05:30,2019-03-01 07:55:49+05:30,0.0500313,,"<<HKDevice: 0x2824ec820>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 08:12:45+05:30,2019-03-01 08:00:21+05:30,2019-03-01 08:00:24+05:30,0.0107049,,"<<HKDevice: 0x2824eccd0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 08:22:45+05:30,2019-03-01 08:11:45+05:30,2019-03-01 08:13:38+05:30,0.0490731,,"<<HKDevice: 0x2824eac10>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 09:07:37+05:30,2019-03-01 08:55:57+05:30,2019-03-01 08:56:23+05:30,0.0131414,,"<<HKDevice: 0x2824e83c0>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank's iPhone,12.1.4,km,2019-03-01 09:20:54+05:30,2019-03-01 09:07:43+05:30,2019-03-01 09:17:35+05:30,0.140752,,"<<HKDevice: 0x2824eb160>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone10,3, software:12.1.4>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank’s Apple Watch,5.0.1,km,2019-03-01 09:03:45+05:30,2019-03-01 08:54:19+05:30,2019-03-01 08:55:15+05:30,0.0264533,,"<<HKDevice: 0x2824ebcf0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch3,4, software:5.0.1>",
HKQuantityTypeIdentifierDistanceWalkingRunning,Shashank’s Apple Watch,5.0.1,km,2019-03-01 09:03:45+05:30,2019-03-01 08:55:41+05:30,2019-03-01 08:56:22+05:30,0.0322764,,"<<HKDevice: 0x2824e9f90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch3,4, software:5.0.1>",
